epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,377.246,0.31055,0.33886,0.88433,0.97541,0.96119,0.98767,0.95361,0.25548,0.27547,0.80828,0.000742625,0.000742625,0.000742625
43,386.225,0.30875,0.31803,0.88676,0.99291,0.99405,0.99102,0.97316,0.22977,0.21612,0.79781,0.00073025,0.00073025,0.00073025
44,395.831,0.29683,0.30039,0.87251,0.98804,0.99405,0.99078,0.95998,0.24301,0.23126,0.81216,0.000717875,0.000717875,0.000717875
45,405.32,0.2954,0.30738,0.88966,0.9949,0.99405,0.9906,0.9714,0.23218,0.23013,0.79269,0.0007055,0.0007055,0.0007055
46,414.487,0.3045,0.32002,0.88797,0.99083,0.99399,0.99046,0.96858,0.2315,0.22457,0.79309,0.000693125,0.000693125,0.000693125
47,423.485,0.29502,0.31096,0.88347,0.99063,0.99405,0.99103,0.97425,0.20941,0.21666,0.7871,0.00068075,0.00068075,0.00068075
48,433.035,0.29177,0.30657,0.88378,0.98849,0.99405,0.99106,0.95736,0.23229,0.20385,0.81566,0.000668375,0.000668375,0.000668375
49,442.245,0.29388,0.30266,0.8879,0.98475,0.98945,0.99068,0.97121,0.22103,0.21577,0.79237,0.000656,0.000656,0.000656
50,451.368,0.28799,0.29183,0.88287,0.98933,0.99405,0.99066,0.97397,0.2104,0.19907,0.78755,0.000643625,0.000643625,0.000643625
51,460.478,0.28745,0.2917,0.89354,0.99429,0.99405,0.9908,0.96656,0.21728,0.19555,0.78954,0.00063125,0.00063125,0.00063125
52,469.551,0.29701,0.29202,0.8771,0.91064,0.99405,0.9788,0.95166,0.22903,0.24982,0.79057,0.000618875,0.000618875,0.000618875
53,478.726,0.28432,0.30188,0.87631,0.98988,0.99265,0.9904,0.97029,0.23803,0.20867,0.79449,0.0006065,0.0006065,0.0006065
54,487.851,0.27656,0.28728,0.87373,0.99457,0.99405,0.99029,0.97442,0.21517,0.19256,0.78332,0.000594125,0.000594125,0.000594125
55,497.047,0.28155,0.27713,0.88579,0.96738,0.99172,0.99062,0.97067,0.21374,0.20062,0.78674,0.00058175,0.00058175,0.00058175
56,506.261,0.27184,0.2709,0.87557,0.97098,0.98942,0.99078,0.97001,0.24074,0.22193,0.79878,0.000569375,0.000569375,0.000569375
57,515.42,0.27899,0.28251,0.87572,0.97199,0.97689,0.98604,0.95626,0.32622,0.26896,0.82641,0.000557,0.000557,0.000557
58,524.516,0.26292,0.26055,0.88079,0.97422,0.98689,0.98445,0.95182,0.31242,0.25306,0.83108,0.000544625,0.000544625,0.000544625
59,534.289,0.26459,0.2589,0.87919,0.96866,0.99405,0.98953,0.95838,0.24991,0.25476,0.79303,0.00053225,0.00053225,0.00053225
60,548.921,0.26001,0.2661,0.88038,0.9694,0.99405,0.98923,0.97149,0.22435,0.21813,0.78904,0.000519875,0.000519875,0.000519875
61,560.597,0.26501,0.26766,0.87429,0.96045,0.99258,0.98954,0.98036,0.21368,0.20252,0.78728,0.0005075,0.0005075,0.0005075
62,570.036,0.2604,0.26524,0.87751,0.98697,0.99405,0.99042,0.97387,0.19004,0.19131,0.77471,0.000495125,0.000495125,0.000495125
63,579.405,0.25832,0.2703,0.87157,0.98508,0.99405,0.99041,0.9638,0.21288,0.1885,0.79527,0.00048275,0.00048275,0.00048275
64,588.693,0.25705,0.26176,0.87055,0.98926,0.99405,0.99082,0.9789,0.20871,0.19744,0.78356,0.000470375,0.000470375,0.000470375
65,598.067,0.24901,0.25949,0.86792,0.98024,0.99405,0.99001,0.97247,0.19979,0.19303,0.79639,0.000458,0.000458,0.000458
66,607.305,0.24939,0.25352,0.87225,0.98593,0.99405,0.99066,0.97332,0.22004,0.18857,0.80726,0.000445625,0.000445625,0.000445625
67,616.638,0.25281,0.25413,0.88075,0.98284,0.99405,0.99096,0.97936,0.1992,0.18535,0.79135,0.00043325,0.00043325,0.00043325
68,626.196,0.24806,0.23861,0.87699,0.96698,0.98512,0.9887,0.97728,0.19958,0.19657,0.78543,0.000420875,0.000420875,0.000420875
69,635.535,0.24944,0.24154,0.86852,0.98897,0.99405,0.99103,0.97618,0.18996,0.17323,0.78584,0.0004085,0.0004085,0.0004085
70,644.92,0.27058,0.25868,0.87644,0.99591,0.96512,0.98872,0.97901,0.19062,0.19479,0.79645,0.000396125,0.000396125,0.000396125
71,654.169,0.2574,0.25673,0.88255,0.97792,0.99405,0.99111,0.98075,0.1682,0.17713,0.76955,0.00038375,0.00038375,0.00038375
72,663.467,0.24146,0.23013,0.86588,0.99179,0.99405,0.99116,0.98313,0.17556,0.15548,0.77444,0.000371375,0.000371375,0.000371375
73,673.362,0.23767,0.23333,0.87141,0.98914,0.99405,0.99097,0.98461,0.17733,0.16537,0.76589,0.000359,0.000359,0.000359
74,682.838,0.23003,0.22794,0.86552,0.98321,0.99405,0.99106,0.98381,0.18248,0.16919,0.76643,0.000346625,0.000346625,0.000346625
75,692.1,0.23663,0.22855,0.87501,0.98242,0.99405,0.99109,0.97765,0.16977,0.16348,0.76822,0.00033425,0.00033425,0.00033425
76,703.195,0.23594,0.23078,0.86732,0.98147,0.99405,0.99101,0.98571,0.16398,0.15838,0.76322,0.000321875,0.000321875,0.000321875
77,714.4,0.23071,0.22333,0.85983,0.98338,0.99405,0.99087,0.97586,0.1752,0.1585,0.77717,0.0003095,0.0003095,0.0003095
78,724.023,0.22945,0.22321,0.8583,0.98729,0.99308,0.99065,0.98199,0.16993,0.1561,0.76599,0.000297125,0.000297125,0.000297125
79,733.442,0.23573,0.23164,0.87031,0.98772,0.99277,0.9907,0.98153,0.17576,0.15142,0.77057,0.00028475,0.00028475,0.00028475
80,742.784,0.23487,0.22963,0.8741,0.98983,0.98512,0.99077,0.97983,0.16647,0.15711,0.76955,0.000272375,0.000272375,0.000272375
81,751.957,0.2242,0.21517,0.86507,0.99511,0.97815,0.99074,0.98019,0.17681,0.16634,0.7795,0.00026,0.00026,0.00026
82,761.407,0.21327,0.21582,0.84926,0.99344,0.99405,0.99065,0.98057,0.17573,0.15359,0.79257,0.000247625,0.000247625,0.000247625
83,770.672,0.214,0.21342,0.85854,0.99177,0.99405,0.99111,0.97952,0.16819,0.14927,0.7725,0.00023525,0.00023525,0.00023525
84,780.162,0.21717,0.2133,0.85981,0.99269,0.99333,0.99132,0.98513,0.16007,0.15404,0.76491,0.000222875,0.000222875,0.000222875
85,789.438,0.22607,0.21588,0.8592,0.9897,0.99405,0.99105,0.9802,0.15961,0.15266,0.76658,0.0002105,0.0002105,0.0002105
86,798.482,0.20818,0.20723,0.85373,0.99172,0.99405,0.99081,0.98071,0.16711,0.14983,0.78419,0.000198125,0.000198125,0.000198125
87,807.751,0.19868,0.19808,0.84765,0.99528,0.99405,0.99117,0.98057,0.17185,0.14908,0.78429,0.00018575,0.00018575,0.00018575
88,816.885,0.21429,0.20533,0.86043,0.99614,0.99405,0.99127,0.98206,0.16189,0.14513,0.77794,0.000173375,0.000173375,0.000173375
89,825.992,0.20596,0.20278,0.85737,0.99507,0.99405,0.99133,0.98168,0.16535,0.14475,0.78295,0.000161,0.000161,0.000161
90,835.26,0.20548,0.20411,0.85813,0.99454,0.99405,0.99154,0.98207,0.15935,0.14112,0.77746,0.000148625,0.000148625,0.000148625
91,844.166,0.15174,0.18264,0.78586,0.9945,0.99405,0.99136,0.98186,0.16335,0.14548,0.77613,0.00013625,0.00013625,0.00013625
92,852.861,0.14761,0.17061,0.78929,0.99313,0.99405,0.99133,0.98303,0.16728,0.15359,0.76766,0.000123875,0.000123875,0.000123875
93,861.494,0.15146,0.16595,0.79218,0.99154,0.99405,0.99109,0.98235,0.17322,0.15044,0.78408,0.0001115,0.0001115,0.0001115
94,870.656,0.14525,0.17342,0.79318,0.99429,0.99405,0.99081,0.98084,0.17001,0.15467,0.79344,9.9125e-05,9.9125e-05,9.9125e-05
95,879.232,0.14222,0.16764,0.79766,0.99467,0.99405,0.99086,0.9806,0.16213,0.14065,0.78535,8.675e-05,8.675e-05,8.675e-05
96,887.753,0.13326,0.15697,0.78448,0.99377,0.99405,0.99071,0.98098,0.15053,0.13879,0.76373,7.4375e-05,7.4375e-05,7.4375e-05
97,896.654,0.13214,0.15458,0.78608,0.9934,0.99405,0.9907,0.98074,0.15544,0.13727,0.7676,6.2e-05,6.2e-05,6.2e-05
98,905.394,0.13046,0.15437,0.77914,0.99384,0.99405,0.99088,0.98026,0.15378,0.13154,0.77429,4.9625e-05,4.9625e-05,4.9625e-05
99,914.116,0.12684,0.14655,0.78561,0.99419,0.99405,0.99102,0.98083,0.15274,0.12792,0.77794,3.725e-05,3.725e-05,3.725e-05
100,922.707,0.12631,0.14984,0.7821,0.99417,0.99405,0.99104,0.98078,0.14942,0.12784,0.77562,2.4875e-05,2.4875e-05,2.4875e-05
